champ_name,ability
Zeri,"Charges herself up with electricity for 6 seconds. While electrified, she aims at the farthest enemy, her attacks pierce, and she dashes after every shot.<br />VIP Bonus: Electrified lasts until the end of combat."
Blitzcrank,"TFT airborne/Pulls the farthest enemy into melee range, dealing 150/300/900 {} magic damage and TFT stun/stunning them for 1.5 seconds. Additionally his next basic attack TFT airborne/knocks up his target for 1 second. Allies within range will prioritize attacking that enemy."
Vi,"Shield herself for 225/325/850 {} and deals 175/250/600 {} magic damage to her target and enemies behind it.<br />On her second cast, she also dashes through her target.<br />On her third cast, she instead throws her target into the air and slams them back to the ground behind them, dealing 250/350/900 {} magic damage in a circle around her target."
Ahri,"Fires an orb in a line for 5 hexes, dealing 140/210/500 {} magic damage to all enemies it passes through on the way out and the way back. She fires 1/1/2 additional orbs for each time she casts in combat, enemies take 60% damage for each subsequent orb. The orbs are fired to form a circular arc with 10Â° between each orb."
Draven,"Starts spinning his axe, causing his next basic attack to gain 120/150/400 {} {} '''bonus''' on-hit physical damage.<br />The spinning axe ricochets off the target high up into the air, landing 2 seconds later at '''Draven's''' current position. If '''Draven''' catches an axe, ''Spinning Axe'' is reapplied for no additional cost on his next basic attack.<br />'''Draven''' can hold up to two ''Spinning Axes'' in his hands at once.<br />VIP Bonus: Gains infinite attack range and ignores an additional 25% his target's armor."
Swain,"Unleashes piercing bolts of eldritch power in a cone towards his target, dealing 250/350/500 {} magic damage to enemies within and healing 250/330/350 {} for each enemy hit."
Zac,"Stretches his arms up to 3 hexes to pull the 2 most distant enemies towards him, dealing 300/450/700 {} magic damage. During this time he gains 60% damage reduction."
Lucian,Dash/Dashes away from his current target and fires 2/2/3 shots at nearby enemies that each deal 170/260/295 {} magic damage.
RekSai,"Bites her target, dealing 100/150/200 (+ 125% AD) physical damage and healing for 200/225/400 {}. If she casts her ability again on a target she already bit, the heal is increased to 275/350/600 {}."
Corki,"Fires a missile at his target that explodes on impact, dealing 180/220/290 {} magic damage to nearby enemies."
Tryndamere,Spins towards the most enemies in a line dealing 70/90/110 {} (+ 100% AD) physical damage to enemies hit and empowering his next 3 basic attacks to deal 25% '''bonus''' damage.
Sivir,"For the next 5 seconds, grants herself 30/60/300% {} '''bonus''' attack speed and her attacks bounce up to 4 times within 5 hexes dealing 30% AD physical damage to enemies hit."
Gnar,"Transforms into Mega Gnar and throws a boulder at the farthest enemy within 3-hex range, dealing 150/200/300 (+ 175% AD) physical damage to all enemies it passes through.<br />While in Mega Gnar form, Gnar is TFT melee/melee, his ability is his boulder toss, and he gains 500/750/1200 {} health and his mana costs are reduced by 20."
JarvanIV,"Calls down his standard to a nearby location, granting all nearby allies 40/55/80% {} '''bonus''' attack speed for 5 seconds."
Alistar,"Charges at his target, TFT airborne/knocking them back for a short distance. Then he slams the ground, dealing 200/325/1200 {} magic damage and TFT stun/stunning all nearby enemies for 1.5/2/8 seconds."
Sejuani,"Signals Bristle to charge, dealing 300/450/750 {} magic damage and TFT stun/stunning the target for 1.5/1.5/2 seconds. She then gains Frost Armor, granting her 50/75/125 '''bonus''' armor and '''bonus''' magic resistance for 4 seconds."
Braum,"Slams his vault door into the ground, creating a fissure towards his target. Enemies within 2 hexes of him and those struck by the fissure are TFT stun/stunned for 2/2.75/8 seconds and take 100/200/750 {} magic damage."
Morgana,"Shields herself by 475/575/675 {} for 3 seconds. She then shackles herself to all enemies in a 2 hex radius, and deals 80/125/175 {} magic damage per second to them, as long as the shield holds.<br />If the shield expires without being broken, all targets are TFT Stun/stunned for a 1.5/2/2.5 seconds. If the shield is broken, she instead refunds herself 30 mana."
Ezreal,"Fires a missile at his target, dealing 25/50/100 (+ 150% AD) physical damage. If the missile hits, he grants himself 18% {} '''bonus''' attack speed, stacking up to 90% {} at 5 stacks."
Ziggs,"Hurls a bomb at his target. After a moderate delay, the bomb lands dealing 300/400/550 {} magic damage to the enemy in the epicenter, and half to adjacent enemies."
Jhin,"Transforms his weapon into a powerful sniper rifle for his next four shots. Each shot deals {} physical damage, reduced by 50% for each target they pierce through. The fourth shot is guaranteed to Crit/critically strike and deals key=%/type=target's '''missing''' health/0 to 100 for 11/0 to 100/key1=%/formula=1% per 1% of target's '''missing''' health/color=health {} more damage."
Warwick,
Vex,"Shields herself for 500/650/850 {} over 4 seconds. When the shield expires, it deals 100/135/175 {} magic damage to all enemies within 2 hexes and 100/135/175 {} '''bonus''' damage if it wasn't destroyed. If it was destroyed, the ability becomes 15% stronger this combat. This effect can stack."
Jayce,"Melee - To the Skies!: Overcharges himself, becoming unstoppable and gaining a 375/550/3000 {} shield for 3 seconds. He then attacks twice, cleaving enemies in front of him for {} physical damage before leaping to the skies and slamming down on his target. Enemies within 2 hexes take the same damage and have their armor and magic resistance reduced by 50/50/70% for 5 seconds.<br />Ranged - Shock Blast: Summons an acceleration gate, granting allies within the same row 20/40/1000% {} '''bonus''' attack speed for 5 seconds. He then replaces his next 3 attacks with orbs of electricity that deal {} physical damage in an area around his target. The 3rd orb has an increased area of effect."
Syndra,"Flings the nearest enemy towards the farthest enemy, dealing 225/300/425 {} magic damage to all nearby enemies upon impact and TFT stun/stunning the thrown target for 2/2.5/3 seconds.<br />VIP Bonus: Impact area is larger and TFT airborne/knocks up affected enemies for 1.5 seconds."
TahmKench,"Devours his target, storing them in his belly and dealing 900/1350/30000 {} magic damage over 3 seconds. During this time, the target is invulnerable to other sources of damage and he gains 30% damage reduction. If they die while inside, he either spits out a random item component they were holding, or the cost of the unit in gold. Otherwise, he spits them towards the farthest enemy, briefly TFT stun/stunning targets they impact. If the target is immune to crowd control, they take 50% damage instead."
Malzahar,"Infects the mind of the closest unafflicted target, dealing 650/900/1100 {} magic damage over 8 seconds and reduces their magic resistance by 40% for the duration. If an afflicted target dies, this ability spreads to the nearest 1/1/2 unafflicted targets with the remaining duration."
Zyra,"Summons vines in the row with the most enemies, dealing 275/375/575 {} magic damage and TFT stun/stunning them for 1.5/2/2.5 seconds."
Viktor,"Summons 3/4/12 singularities to fire death rays that cut across the battlefield in a line and melt enemy defenses. To enemies caught in its path, death rays deal 360/420/1500 {} magic damage and destroys 40/50/200% of any remaining shields."
Seraphine,Projects her song towards the largest group of units. The song deals 250/400/1200 {} magic damage to enemies. Allies it passes through are healed 250/350/1000 {} and gain 30/45/100% '''bonus''' attack speed for 4 seconds.
Zilean,"Places a bomb on the closest enemy, TFT stun/stunning them for 1.5 seconds. When the stun ends, or the target dies, the bomb explodes dealing 250/400/777 {} magic damage to adjacent enemies and reducing their attack speed by 30/40/50% for 4 seconds."
Irelia,"Dash/Dashes to her target, striking them for 75/100/550 {} (+ 190% AD) physical damage. If she kills the target, she Bladesurges again to the enemy with the lowest health."
Silco,"Injects an unstable concoction into 1/1/5 of his lowest health allies, granting them 50% '''maximum''' health, 50/125/666% '''bonus''' attack speed, and immunity to crowd control for 6/7/10 seconds. When the concoction wears off, unstable units die by explosion, dealing 350/600/5000 {} magic damage to nearby enemies. The explosion radius is doubled at 3-Star."
Renata,"Unleashes a toxic poison wave towards the largest group of nearby enemies within 6 hexes, poisoning all enemies caught in its path for 15 seconds. Poisoned enemies suffer 20% reduced attack speed and take 50/75/250 {} magic damage per second. Damage dealt by the poison can stack."
Quinn,"Sends Valor out at the target with the highest attack speed, dealing 200/300/650 {} magic damage to the target and nearby enemies. Enemies hit are also TFT disarm/disarmed for 1.5/2/2.5 seconds."
Leona,"Calls down a beacon of light upon herself, granting herself a 400/650/1000 {} shield for 5/5/8 seconds. All allies within 2 hexes gain 30/50/80 '''bonus''' armor and '''bonus''' magic resistance for the same duration.<br />VIP Bonus: Heal {} every second for each unit targeting her."
Ekko,"Invokes an afterimage that bats a device towards the largest group of units. Upon landing, it deals 125/200/400 {} magic damage to enemies within and reduces their attack speed by 20/20/30% for 4 seconds. Allies inside gain 30/40/50% {} '''bonus''' attack speed/attack speed for 4 seconds."
Orianna,"Sends out her ball towards the largest group of champions, then commands it to release a shockwave. Allies within 2 hexes gain a 125/200/700 {} shield for 4 seconds, while enemies within the area are briefly TFT airborne/knocked up and dealt 300/425/1500 {} magic damage. Enemies adjacent to the ball are drawn in and TFT stun/stunned for 1/1/4 seconds."
Lulu,"Enlarges 1/2/3 low health allies, granting them 350/370/390 {} '''bonus''' health and TFT airborne/knocking up enemies near them. If the ally is already enlarged, they are healed instead."
